bank_date,amount,counterparty,bank_ref
2025-01-02,-676.66,Huaxin Office Supplies 华信办公用品,BR000001
2025-01-03,-2039.84,Yunfan Ticketing 云帆票务,BR000002
2025-01-03,-1487.05,Jietu Travel Service 捷途旅行社,BR000003
2025-01-03,-1049.86,Yunfan Ticketing 云帆票务,BR000004
2025-01-03,-709.76,Jiayi Printing 嘉艺印务,BR000005
2025-01-03,-581.25,Jiayi Printing 嘉艺印务,BR000006
2025-01-04,-3244.45,Jietu Travel Service 捷途旅行社,BR000007
2025-01-04,-2603.45,Jietu Travel Service 捷途旅行社,BR000008
2025-01-04,-2022.08,Songhe Tea House 松鹤茶楼,BR000009
2025-01-05,-386.08,Jiayi Printing 嘉艺印务,BR000010
2025-01-07,-60000.00,Hengtai Property 恒泰物业,BR000011
2025-01-07,-3452.71,Jietu Travel Service 捷途旅行社,BR000012
2025-01-07,-530.55,Jiayi Printing 嘉艺印务,BR000013
2025-01-08,-2942.20,Songhe Tea House 松鹤茶楼,BR000014
2025-01-08,-2167.09,Jietu Travel Service 捷途旅行社,BR000015
2025-01-08,-1869.72,Yunfan Ticketing 云帆票务,BR000016
2025-01-09,-1110.96,Songhe Tea House 松鹤茶楼,BR000017
2025-01-09,-920.54,Huaxin Office Supplies 华信办公用品,BR000018
2025-01-09,-595.30,Huaxin Office Supplies 华信办公用品,BR000019
2025-01-09,-577.35,Jiayi Printing 嘉艺印务,BR000020
2025-01-10,-6060.91,Jietu Travel Service 捷途旅行社,BR000021
2025-01-10,-2779.40,Yunfan Ticketing 云帆票务,BR000022
2025-01-10,-2213.85,Songhe Tea House 松鹤茶楼,BR000023
2025-01-10,-1791.57,Jietu Travel Service 捷途旅行社,BR000024
2025-01-10,-1774.87,Yunfan Ticketing 云帆票务,BR000025
2025-01-10,-1271.01,Songhe Tea House 松鹤茶楼,BR000026
2025-01-10,-857.87,Songhe Tea House 松鹤茶楼,BR000027
2025-01-10,-254.42,Jiayi Printing 嘉艺印务,BR000028
