bank_ref,voucher_no,match_type
,JV005505,deposit_in_transit
,JV005530,deposit_in_transit
,JV005590,outstanding_payment
,JV005597,outstanding_payment
,JV005631,outstanding_payment
,JV005651,outstanding_payment
,JV005660,outstanding_payment
,JV005665,outstanding_payment
,JV005670,outstanding_payment
,JV005673,outstanding_payment
,JV005681,outstanding_payment
,JV005687,outstanding_payment
,JV005688,outstanding_payment
,JV005702,outstanding_payment
BR000001,JV000010,one_to_one
BR000002,JV000026,one_to_one
BR000003,JV000011,one_to_one
BR000004,JV000028,one_to_one
BR000005,JV000025,one_to_one
BR000006,JV000014,one_to_one
BR000007,JV000033,one_to_one
BR000008,JV000022,one_to_one
BR000009,JV000027,one_to_one
BR000010,JV000015,one_to_one
BR000011,JV000048,one_to_one
BR000012,JV000069,one_to_one
BR000013,JV000047,one_to_one
BR000014,JV000044,one_to_one
BR000015,JV000075,one_to_one
BR000016,JV000063,one_to_one
BR000017,JV000043,one_to_one
BR000018,JV000053,one_to_one
BR000019,JV000109,one_to_one
BR000020,JV000095,one_to_one
BR000021,JV000101,one_to_one
BR000022,JV000064,one_to_one
BR000023,JV000099,one_to_one
BR000024,JV000079,one_to_one
BR000025,JV000110,one_to_one
BR000026,JV000068,one_to_one
BR000027,JV000121,one_to_one
BR000028,JV000106,one_to_one
BR000029,JV000116,one_to_one
BR000030,JV000168,one_to_one
BR000031,JV000149,one_to_one
BR000032,JV000163,one_to_one
BR000033,JV000138,one_to_one
BR000034,JV000150,one_to_one
BR000035,JV000158,one_to_one
BR000036,JV000134,one_to_one
BR000037,JV000177,one_to_one
BR000038,JV000160,one_to_one
BR000039,JV000166,one_to_one
BR000040,JV000173,one_to_one
BR000041,JV000151,one_to_one
BR000042,JV000183,one_to_one
BR000043,JV000205,one_to_one
BR000044,JV000169,one_to_one
BR000045,JV000200,one_to_one
BR000046,JV000197,one_to_one
BR000047,JV000170,one_to_one
BR000048,JV000231,one_to_one
BR000049,JV000235,one_to_one
BR000050,JV000233,one_to_one
BR000051,JV000241,one_to_one
BR000052,JV000242,one_to_one
BR000053,JV000253,one_to_one
BR000054,JV000282,one_to_one
BR000055,JV000274,one_to_one
BR000056,JV000270,one_to_one
BR000057,JV000296,one_to_one
BR000058,JV000307,one_to_one
BR000059,JV000299,one_to_one
BR000060,JV000328,one_to_one
BR000061,JV000323,one_to_one
BR000062,JV000345,one_to_one
BR000063,JV000343,one_to_one
BR000064,JV000368,one_to_one
BR000065,JV000353,one_to_one
BR000066,JV000352,one_to_one
BR000067,JV000355,one_to_one
BR000068,JV000390,one_to_one
BR000069,JV000364,one_to_one
BR000070,JV000363,one_to_one
BR000071,JV000416,one_to_one
BR000072,JV000383,one_to_one
BR000073,JV000382,one_to_one
BR000074,JV000379,one_to_one
BR000075,JV000372,one_to_one
BR000076,JV000365,one_to_one
BR000077,JV000358,one_to_one
BR000078,JV000415,one_to_one
BR000079,JV000404,one_to_one
BR000080,JV000413,one_to_one
BR000081,JV000389,one_to_one
BR000082,JV000409,one_to_one
BR000083,JV000357,one_to_one
BR000084,JV000398,one_to_one
BR000085,JV000394,one_to_one
BR000086,JV000436,one_to_one
BR000087,JV000433,one_to_one
BR000088,JV000435,one_to_one
BR000089,JV000432,one_to_one
BR000090,JV000423,one_to_one
BR000091,JV000434,one_to_one
BR000092,JV000429,one_to_one
BR000093,JV000426,one_to_one
BR000094,JV000442,one_to_one
BR000095,JV000456,one_to_one
BR000096,JV000470,one_to_one
BR000097,JV000469,one_to_one
BR000098,JV000513,one_to_one
BR000099,JV000516,one_to_one
BR000100,JV000490,one_to_one
BR000101,JV000511,one_to_one
BR000102,JV000488,one_to_one
BR000103,JV000460,one_to_one
BR000104,JV000501,one_to_one
BR000105,JV000439,one_to_one
BR000106,JV000518,one_to_one
BR000107,JV000449,one_to_one
BR000108,JV000502,one_to_one
BR000109,JV000503,one_to_one
BR000110,JV000452,one_to_one
BR000111,JV000471,one_to_one
BR000112,JV000523,one_to_one
BR000113,JV000533,one_to_one
BR000114,JV000537,one_to_one
BR000115,JV000475,one_to_one
BR000116,JV000545,one_to_one
BR000117,JV000506,one_to_one
BR000118,JV000521,one_to_one
BR000119,JV000543,one_to_one
BR000120,JV000548,one_to_one
BR000121,JV000565,one_to_one
BR000122,JV000556,one_to_one
BR000123,JV000585,one_to_one
BR000124,JV000557,one_to_one
BR000125,JV000576,one_to_one
BR000126,JV000563,one_to_one
BR000127,JV000589,one_to_one
BR000128,JV000591,one_to_one
BR000129,JV000561,one_to_one
BR000130,JV000611,one_to_one
BR000131,JV000617,one_to_one
BR000132,JV000579,one_to_one
BR000133,JV000608,one_to_one
BR000134,JV000595,one_to_one
BR000135,JV000609,one_to_one
BR000136,JV000623,one_to_one
BR000137,JV000636,one_to_one
BR000138,JV000552,one_to_one
BR000139,JV000559,one_to_one
BR000140,JV000558,one_to_one
BR000141,JV000588,one_to_one
BR000142,JV000629,one_to_one
BR000143,JV000602,one_to_one
BR000144,JV000650,one_to_one
BR000145,JV000645,one_to_one
BR000146,JV000647,one_to_one
BR000147,JV000639,one_to_one
BR000148,JV000654,one_to_one
BR000149,JV000651,one_to_one
BR000150,JV000662,one_to_one
BR000151,JV000656,one_to_one
BR000152,JV000643,one_to_one
BR000153,JV000644,one_to_one
BR000154,JV000660,one_to_one
BR000155,JV000670,one_to_one
BR000156,JV000684,one_to_one
BR000157,JV000664,one_to_one
BR000158,JV000679,one_to_one
BR000159,JV000685,one_to_one
BR000160,JV000674,one_to_one
BR000161,JV000686,one_to_one
BR000162,JV000676,one_to_one
BR000163,JV000725,one_to_one
BR000164,JV000722,one_to_one
BR000165,JV000710,one_to_one
BR000166,JV000719,one_to_one
BR000167,JV000707,one_to_one
BR000168,JV000697,one_to_one
BR000169,JV000723,one_to_one
BR000170,JV000711,one_to_one
BR000171,JV000726,one_to_one
BR000172,JV000680,one_to_one
BR000173,JV000738,one_to_one
BR000174,JV000714,one_to_one
BR000175,JV000720,one_to_one
BR000176,JV000729,one_to_one
BR000177,JV000717,one_to_one
BR000178,JV000712,one_to_one
BR000179,JV000691,one_to_one
BR000180,JV000689,one_to_one
BR000181,JV000706,one_to_one
BR000182,JV000715,one_to_one
BR000183,JV000713,one_to_one
BR000184,JV000716,one_to_one
BR000185,JV000735,one_to_one
BR000186,JV000665,one_to_one
BR000187,JV000744,one_to_one
BR000188,JV000756,one_to_one
BR000189,JV000760,one_to_one
BR000190,JV000773,one_to_one
BR000191,JV000702,one_to_one
BR000192,JV000754,one_to_one
BR000193,JV000781,one_to_one
BR000194,JV000788,one_to_one
BR000195,JV000777,one_to_one
BR000196,JV000745,one_to_one
BR000197,JV000784,one_to_one
BR000198,JV000772,one_to_one
BR000199,JV000752,one_to_one
BR000200,JV000820,one_to_one
BR000201,JV000802,one_to_one
BR000202,JV000813,one_to_one
BR000203,JV000809,one_to_one
BR000204,JV000827,one_to_one
BR000205,JV000808,one_to_one
BR000206,JV000804,one_to_one
BR000207,JV000850,one_to_one
BR000208,JV000832,one_to_one
BR000209,JV000830,one_to_one
BR000210,JV000823,one_to_one
BR000211,JV000814,one_to_one
BR000212,JV000838,one_to_one
BR000213,JV000852,one_to_one
BR000214,JV000828,one_to_one
BR000215,JV000856,one_to_one
BR000216,JV000816,one_to_one
BR000217,JV000799,one_to_one
BR000218,JV000796,one_to_one
BR000219,JV000863,one_to_one
BR000220,JV000837,one_to_one
BR000221,JV000858,one_to_one
BR000222,JV000848,one_to_one
BR000223,JV000866,one_to_one
BR000224,JV000880,one_to_one
BR000225,JV000886,one_to_one
BR000226,JV000905,one_to_one
BR000227,JV000862,one_to_one
BR000228,JV000839,one_to_one
BR000229,JV000895,one_to_one
BR000230,JV000883,one_to_one
BR000231,JV000922,one_to_one
BR000232,JV000927,one_to_one
BR000233,JV000923,one_to_one
BR000234,JV000920,one_to_one
BR000235,JV000921,one_to_one
BR000236,JV000918,one_to_one
BR000237,JV000929,one_to_one
BR000238,JV000914,one_to_one
BR000239,JV000915,one_to_one
BR000240,JV000944,one_to_one
BR000241,JV000930,one_to_one
BR000242,JV000925,one_to_one
BR000243,JV000911,one_to_one
BR000244,JV000936,one_to_one
BR000245,JV000945,one_to_one
BR000246,JV000973,one_to_one
BR000247,JV000955,one_to_one
BR000248,JV000962,one_to_one
BR000249,JV000991,one_to_one
BR000250,JV000952,one_to_one
BR000251,JV000978,one_to_one
BR000252,JV000958,one_to_one
BR000253,JV001015,one_to_one
BR000254,JV000979,one_to_one
BR000255,JV000990,one_to_one
BR000256,JV000977,one_to_one
BR000257,JV000999,one_to_one
BR000258,JV000998,one_to_one
BR000259,JV000992,one_to_one
BR000260,JV000976,one_to_one
BR000261,JV001033,one_to_one
BR000262,JV001024,one_to_one
BR000263,JV001032,one_to_one
BR000264,JV001020,one_to_one
BR000265,JV001036,one_to_one
BR000266,JV001003,one_to_one
BR000267,JV001021,one_to_one
BR000268,JV001037,one_to_one
BR000269,JV001034,one_to_one
BR000270,JV001029,one_to_one
BR000271,JV001019,one_to_one
BR000272,JV001022,one_to_one
BR000273,JV001042,one_to_one
BR000274,JV001048,one_to_one
BR000275,JV001043,one_to_one
BR000276,JV001035,one_to_one
BR000277,JV001083,one_to_one
BR000278,JV001067,one_to_one
BR000279,JV001053,one_to_one
BR000280,JV001063,one_to_one
BR000281,JV001084,one_to_one
BR000282,JV001080,one_to_one
BR000283,JV001077,one_to_one
BR000284,JV001089,one_to_one
BR000285,JV001065,one_to_one
BR000286,JV001075,one_to_one
BR000287,JV001093,one_to_one
BR000288,JV001081,one_to_one
BR000289,JV001109,one_to_one
BR000290,JV001147,one_to_one
BR000291,JV001117,one_to_one
BR000292,JV001112,one_to_one
BR000293,JV001113,one_to_one
BR000294,JV001106,one_to_one
BR000295,JV001145,one_to_one
BR000296,JV001159,one_to_one
BR000297,JV001105,one_to_one
BR000298,JV001146,one_to_one
BR000299,JV001133,one_to_one
BR000300,JV001119,one_to_one
BR000301,JV001150,one_to_one
BR000302,JV001131,one_to_one
BR000303,JV001172,one_to_one
BR000304,JV001152,one_to_one
BR000305,JV001139,one_to_one
BR000306,JV001128,one_to_one
BR000307,JV001126,one_to_one
BR000308,JV001143,one_to_one
BR000309,JV001144,one_to_one
BR000310,JV001136,one_to_one
BR000311,JV001155,one_to_one
BR000312,JV001141,one_to_one
BR000313,JV001123,one_to_many
BR000313,JV001138,one_to_many
BR000313,JV001158,one_to_many
BR000314,JV001114,one_to_one
BR000315,JV001156,one_to_one
BR000316,JV001179,one_to_one
BR000317,JV001176,one_to_one
BR000318,JV001177,one_to_one
BR000319,JV001186,one_to_one
BR000320,JV001203,one_to_one
BR000321,JV001171,one_to_one
BR000322,JV001129,one_to_one
BR000323,JV001122,one_to_one
BR000324,JV001130,one_to_one
BR000325,JV001157,one_to_one
BR000326,JV001189,one_to_one
BR000327,JV001115,one_to_one
BR000328,JV001188,one_to_one
BR000329,JV001125,one_to_one
BR000330,JV001148,one_to_one
BR000331,JV001193,one_to_one
BR000332,JV001135,one_to_one
BR000333,JV001121,one_to_one
BR000334,JV001218,one_to_one
BR000335,JV001197,one_to_one
BR000336,JV001212,one_to_one
BR000337,JV001124,one_to_one
BR000338,JV001154,one_to_one
BR000339,JV001201,one_to_one
BR000340,JV001213,one_to_one
BR000341,JV001210,one_to_one
BR000342,JV001214,one_to_one
BR000343,JV001217,one_to_one
BR000344,JV001211,one_to_one
BR000345,JV001223,one_to_one
BR000346,JV001252,one_to_one
BR000347,JV001248,one_to_one
BR000348,JV001230,one_to_one
BR000349,JV001245,one_to_one
BR000350,JV001231,one_to_one
BR000351,JV001234,one_to_one
BR000352,JV001253,one_to_one
BR000353,JV001226,one_to_one
BR000354,JV001228,one_to_one
BR000355,JV001262,one_to_one
BR000356,JV001233,one_to_one
BR000357,JV001280,one_to_one
BR000358,JV001257,one_to_one
BR000359,JV001285,one_to_one
BR000360,JV001273,one_to_one
BR000361,JV001282,one_to_one
BR000362,JV001261,one_to_one
BR000363,JV001241,one_to_one
BR000364,JV001243,one_to_one
BR000365,JV001275,one_to_one
BR000366,JV001277,one_to_one
BR000367,JV001258,one_to_one
BR000368,JV001284,one_to_one
BR000369,JV001309,one_to_one
BR000370,JV001304,one_to_one
BR000371,JV001311,one_to_one
BR000372,JV001291,one_to_one
BR000373,JV001331,one_to_one
BR000374,JV001317,one_to_one
BR000375,JV001334,one_to_one
BR000376,JV001321,one_to_one
BR000377,JV001337,one_to_one
BR000378,JV001325,one_to_one
BR000379,JV001328,one_to_one
BR000380,JV001330,one_to_one
BR000381,JV001316,one_to_one
BR000382,JV001329,one_to_one
BR000383,JV001322,one_to_one
BR000384,JV001335,one_to_one
BR000385,JV001351,one_to_one
BR000386,JV001319,one_to_one
BR000387,JV001366,one_to_one
BR000388,JV001397,one_to_one
BR000389,JV001387,one_to_one
BR000390,JV001392,one_to_one
BR000391,JV001398,one_to_one
BR000392,JV001370,one_to_one
BR000393,JV001352,one_to_one
BR000394,JV001379,one_to_one
BR000395,JV001349,one_to_one
BR000396,JV001357,one_to_one
BR000397,JV001383,one_to_one
BR000398,JV001403,one_to_one
BR000399,JV001395,one_to_one
BR000400,JV001378,one_to_one
BR000401,JV001406,one_to_one
BR000402,JV001410,one_to_one
BR000403,JV001382,one_to_one
BR000404,JV001419,one_to_one
BR000405,JV001414,one_to_one
BR000406,JV001422,one_to_one
BR000407,JV001415,one_to_one
BR000408,JV001358,one_to_one
BR000409,JV001396,one_to_one
BR000410,JV001428,one_to_one
BR000411,JV001448,one_to_one
BR000412,JV001411,one_to_one
BR000413,JV001442,one_to_one
BR000414,JV001439,one_to_one
BR000415,JV001434,one_to_one
BR000416,JV001436,one_to_one
BR000417,JV001435,one_to_one
BR000418,JV001450,one_to_one
BR000419,JV001461,one_to_one
BR000420,JV001437,one_to_one
BR000421,JV001456,one_to_one
BR000422,JV001485,one_to_one
BR000423,JV001478,one_to_one
BR000424,JV001463,one_to_one
BR000425,JV001455,one_to_one
BR000426,JV001446,one_to_one
BR000427,JV001454,one_to_one
BR000428,JV001491,one_to_one
BR000429,JV001471,one_to_one
BR000430,JV001432,one_to_one
BR000431,JV001472,one_to_one
BR000432,JV001475,one_to_one
BR000433,JV001486,one_to_one
BR000434,JV001509,one_to_one
BR000435,JV001492,one_to_one
BR000436,JV001501,one_to_one
BR000437,JV001512,one_to_one
BR000438,JV001531,one_to_one
BR000439,JV001465,one_to_one
BR000440,JV001524,one_to_one
BR000441,JV001527,one_to_one
BR000442,JV001528,one_to_one
BR000443,JV001498,one_to_one
BR000444,JV001522,one_to_one
BR000445,JV001541,one_to_one
BR000446,JV001543,one_to_one
BR000447,JV001550,one_to_one
BR000448,JV001537,one_to_one
BR000449,JV001526,one_to_one
BR000450,JV001556,one_to_one
BR000451,JV001535,one_to_one
BR000452,JV001540,one_to_one
BR000453,JV001548,one_to_one
BR000454,JV001569,one_to_one
BR000455,JV001560,one_to_one
BR000456,JV001567,one_to_one
BR000457,JV001554,one_to_one
BR000458,JV001578,one_to_one
BR000459,JV001559,one_to_one
BR000460,JV001583,one_to_one
BR000461,JV001565,one_to_one
BR000462,JV001579,one_to_one
BR000463,JV001572,one_to_one
BR000464,JV001593,one_to_one
BR000465,JV001600,one_to_one
BR000466,JV001591,one_to_one
BR000467,JV001605,one_to_one
BR000468,JV001614,one_to_one
BR000469,JV001611,one_to_one
BR000470,JV001631,one_to_one
BR000471,JV001609,one_to_one
BR000472,JV001639,one_to_one
BR000473,JV001620,one_to_one
BR000474,JV001637,one_to_one
BR000475,JV001617,one_to_one
BR000476,JV001623,one_to_one
BR000477,JV001608,one_to_one
BR000478,JV001585,one_to_one
BR000479,JV001625,one_to_one
BR000480,JV001607,one_to_one
BR000481,JV001613,one_to_one
BR000482,JV001638,one_to_one
BR000483,JV001633,one_to_one
BR000484,JV001628,one_to_one
BR000485,JV001640,one_to_one
BR000486,JV001618,one_to_one
BR000487,JV001632,one_to_one
BR000488,JV001603,one_to_one
BR000489,JV001624,one_to_one
BR000490,JV001635,one_to_one
BR000491,JV001626,one_to_one
BR000492,JV001667,one_to_one
BR000493,JV001651,one_to_one
BR000494,JV001663,one_to_one
BR000495,JV001653,one_to_one
BR000496,JV001648,one_to_one
BR000497,JV001650,one_to_one
BR000498,JV001656,one_to_one
BR000499,JV001645,one_to_one
BR000500,JV001714,one_to_one
BR000501,JV001695,one_to_one
BR000502,JV001685,one_to_one
BR000503,JV001719,one_to_one
BR000504,JV001678,one_to_one
BR000505,JV001672,one_to_one
BR000506,JV001684,one_to_one
BR000507,JV001649,one_to_one
BR000508,JV001697,one_to_one
BR000509,JV001701,one_to_one
BR000510,JV001707,one_to_one
BR000511,JV001717,one_to_one
BR000512,JV001710,one_to_one
BR000513,JV001690,one_to_one
BR000514,JV001720,one_to_one
BR000515,JV001692,one_to_one
BR000516,JV001745,one_to_one
BR000517,JV001733,one_to_one
BR000518,JV001725,one_to_one
BR000519,JV001748,one_to_one
BR000520,JV001750,one_to_one
BR000521,JV001736,one_to_one
BR000522,JV001747,one_to_one
BR000523,JV001741,one_to_one
BR000524,JV001730,one_to_one
BR000525,JV001754,one_to_one
BR000526,JV001755,one_to_one
BR000527,JV001749,one_to_one
BR000528,JV001744,one_to_one
BR000529,JV001740,one_to_one
BR000530,JV001746,one_to_one
BR000531,JV001774,one_to_one
BR000532,JV001732,one_to_one
BR000533,JV001742,one_to_one
BR000534,JV001758,one_to_one
BR000535,JV001768,one_to_one
BR000536,JV001785,one_to_one
BR000537,JV001787,one_to_one
BR000538,JV001793,one_to_one
BR000539,JV001735,one_to_one
BR000540,JV001729,one_to_one
BR000541,JV001788,one_to_one
BR000542,JV001767,one_to_one
BR000543,JV001760,one_to_one
BR000544,JV001819,one_to_one
BR000545,JV001782,one_to_one
BR000546,JV001797,one_to_one
BR000547,JV001809,one_to_one
BR000548,JV001804,one_to_one
BR000549,JV001796,one_to_one
BR000550,JV001778,one_to_one
BR000551,JV001807,one_to_one
BR000552,JV001849,one_to_one
BR000553,JV001822,one_to_one
BR000554,JV001845,one_to_one
BR000555,JV001821,one_to_one
BR000556,JV001837,one_to_one
BR000557,JV001848,one_to_one
BR000558,JV001847,one_to_one
BR000559,JV001834,one_to_one
BR000560,JV001824,one_to_one
BR000561,JV001839,one_to_one
BR000562,JV001836,one_to_one
BR000563,JV001829,one_to_one
BR000564,JV001840,one_to_one
BR000565,JV001833,one_to_one
BR000566,JV001835,one_to_one
BR000567,JV001865,one_to_one
BR000568,JV001859,one_to_one
BR000569,JV001858,one_to_one
BR000570,JV001902,one_to_one
BR000571,JV001897,one_to_one
BR000572,JV001877,one_to_one
BR000573,JV001826,one_to_one
BR000574,JV001898,one_to_one
BR000575,JV001918,one_to_one
BR000576,JV001912,one_to_one
BR000577,JV001928,one_to_one
BR000578,JV001916,one_to_one
BR000579,JV001893,one_to_one
BR000580,JV001876,one_to_one
BR000581,JV001906,one_to_one
BR000582,JV001894,one_to_one
BR000583,JV001888,one_to_one
BR000584,JV001940,one_to_one
BR000585,JV001944,one_to_one
BR000586,JV001947,one_to_one
BR000587,JV001967,one_to_one
BR000588,JV001964,one_to_one
BR000589,JV001946,one_to_one
BR000590,JV001941,one_to_one
BR000591,JV001984,one_to_one
BR000592,JV001962,one_to_one
BR000593,JV001971,one_to_one
BR000594,JV001958,one_to_one
BR000595,JV001969,one_to_one
BR000596,JV001957,one_to_one
BR000597,JV001990,one_to_one
BR000598,JV001963,one_to_one
BR000599,JV001965,one_to_one
BR000600,JV001981,one_to_one
BR000601,JV001996,one_to_one
BR000602,JV001929,one_to_one
BR000603,JV001992,one_to_one
BR000604,JV002004,one_to_one
BR000605,JV001975,one_to_one
BR000606,JV001991,one_to_one
BR000607,JV002020,one_to_one
BR000608,JV002044,one_to_one
BR000609,JV002001,one_to_one
BR000610,JV002011,one_to_one
BR000611,JV002009,one_to_one
BR000612,JV002014,one_to_one
BR000613,JV002002,one_to_one
BR000614,JV002039,one_to_one
BR000615,JV002048,one_to_one
BR000616,JV002038,one_to_one
BR000617,JV002053,one_to_one
BR000618,JV002041,one_to_one
BR000619,JV002023,one_to_one
BR000620,JV002051,one_to_one
BR000621,JV002045,one_to_one
