voucher_no,line_no,posting_date,entry_time,account_code,account_name,debit,credit,department,supplier,prepared_by,approved_by,description
JV000001,1,2025-01-02,2025-01-02 09:11:44,1405,Inventory 库存商品,9040.56,,Production,Ruifeng Components 瑞丰元件,prep02,appr03,Purchase of materials
JV000001,2,2025-01-02,2025-01-02 09:11:44,222101,Input VAT 应交增值税-进项税额,1175.27,,Production,Ruifeng Components 瑞丰元件,prep02,appr03,Purchase of materials
JV000001,3,2025-01-02,2025-01-02 09:11:44,2202,Accounts payable 应付账款,,10215.83,Production,Ruifeng Components 瑞丰元件,prep02,appr03,Purchase of materials
JV000002,1,2025-01-02,2025-01-02 10:14:03,1405,Inventory 库存商品,6759.59,,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000002,2,2025-01-02,2025-01-02 10:14:03,222101,Input VAT 应交增值税-进项税额,878.75,,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000002,3,2025-01-02,2025-01-02 10:14:03,2202,Accounts payable 应付账款,,7638.34,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000003,1,2025-01-02,2025-01-02 10:56:43,6609,Repairs and maintenance 修理费,4848.43,,Production,Wanli Facility Services 万里设施服务,prep03,appr01,Repair services
JV000003,2,2025-01-02,2025-01-02 10:56:43,222101,Input VAT 应交增值税-进项税额,630.30,,Production,Wanli Facility Services 万里设施服务,prep03,appr01,Repair services
JV000003,3,2025-01-02,2025-01-02 10:56:43,2202,Accounts payable 应付账款,,5478.73,Production,Wanli Facility Services 万里设施服务,prep03,appr01,Repair services
JV000004,1,2025-01-02,2025-01-02 11:05:58,1405,Inventory 库存商品,31345.27,,Production,Lianchuang Parts 联创配件,prep02,appr02,Purchase of materials
JV000004,2,2025-01-02,2025-01-02 11:05:58,222101,Input VAT 应交增值税-进项税额,4074.89,,Production,Lianchuang Parts 联创配件,prep02,appr02,Purchase of materials
JV000004,3,2025-01-02,2025-01-02 11:05:58,2202,Accounts payable 应付账款,,35420.16,Production,Lianchuang Parts 联创配件,prep02,appr02,Purchase of materials
JV000005,1,2025-01-02,2025-01-02 11:22:32,1122,Accounts receivable 应收账款,22207.68,,Sales,,prep02,appr02,Sales invoice
JV000005,2,2025-01-02,2025-01-02 11:22:32,6001,Sales revenue 主营业务收入,,19652.81,Sales,,prep02,appr02,Sales invoice
JV000005,3,2025-01-02,2025-01-02 11:22:32,222102,Output VAT 应交增值税-销项税额,,2554.87,Sales,,prep02,appr02,Sales invoice
JV000005,4,2025-01-02,2025-01-02 11:22:32,6401,Cost of sales 主营业务成本,11498.68,,Sales,,prep02,appr02,Sales invoice
JV000005,5,2025-01-02,2025-01-02 11:22:32,1405,Inventory 库存商品,,11498.68,Sales,,prep02,appr02,Sales invoice
JV000006,1,2025-01-02,2025-01-02 12:19:15,1405,Inventory 库存商品,12946.50,,Production,Dingxin Steel 鼎鑫钢材,prep02,appr03,Purchase of materials
JV000006,2,2025-01-02,2025-01-02 12:19:15,222101,Input VAT 应交增值税-进项税额,1683.05,,Production,Dingxin Steel 鼎鑫钢材,prep02,appr03,Purchase of materials
JV000006,3,2025-01-02,2025-01-02 12:19:15,2202,Accounts payable 应付账款,,14629.55,Production,Dingxin Steel 鼎鑫钢材,prep02,appr03,Purchase of materials
JV000007,1,2025-01-02,2025-01-02 13:10:27,1405,Inventory 库存商品,3960.10,,Production,Baocheng Plastics 宝成塑料,prep03,appr02,Purchase of materials
JV000007,2,2025-01-02,2025-01-02 13:10:27,222101,Input VAT 应交增值税-进项税额,514.81,,Production,Baocheng Plastics 宝成塑料,prep03,appr02,Purchase of materials
JV000007,3,2025-01-02,2025-01-02 13:10:27,2202,Accounts payable 应付账款,,4474.91,Production,Baocheng Plastics 宝成塑料,prep03,appr02,Purchase of materials
JV000008,1,2025-01-02,2025-01-02 13:50:59,1405,Inventory 库存商品,5266.78,,Production,Yongsheng Chemicals 永盛化工,prep02,appr03,Purchase of materials
JV000008,2,2025-01-02,2025-01-02 13:50:59,222101,Input VAT 应交增值税-进项税额,684.68,,Production,Yongsheng Chemicals 永盛化工,prep02,appr03,Purchase of materials
