voucher_no,anomaly_type
JV000021,extreme_amount
JV000038,weekend_holiday
JV000098,same_preparer_approver
JV000132,after_close
JV000188,unbalanced
JV000192,late_night
JV000225,late_night
JV000232,round_amount
JV000238,after_close
JV000278,round_amount
JV000286,extreme_amount
JV000335,same_preparer_approver
JV000346,duplicate_entry
JV000350,duplicate_entry
JV000413,split_payment
JV000429,split_payment
JV000443,duplicate_entry
JV000449,split_payment
JV000466,after_close
JV000509,extreme_amount
JV000530,duplicate_entry
JV000547,after_close
JV000553,suspicious_keyword
JV000800,suspicious_keyword
JV000807,late_night
JV000845,suspicious_keyword
JV000889,after_close
JV000902,same_preparer_approver
JV000951,after_close
JV000965,unbalanced
JV000974,late_night
JV000990,split_payment
JV000998,split_payment
JV001022,split_payment
JV001061,unbalanced
JV001073,round_amount
JV001137,suspicious_keyword
JV001224,weekend_holiday
JV001290,unbalanced
JV001293,unbalanced
JV001354,unbalanced
JV001369,duplicate_entry
JV001409,same_preparer_approver
JV001420,duplicate_entry
JV001433,suspicious_keyword
JV001466,round_amount
JV001490,same_preparer_approver
JV001555,duplicate_entry
JV001570,extreme_amount
JV001596,extreme_amount
JV001606,duplicate_entry
JV001721,after_close
JV001722,weekend_holiday
JV001884,unbalanced
JV001929,split_payment
JV001932,unbalanced
JV001936,extreme_amount
JV001964,split_payment
JV001987,unbalanced
JV001992,split_payment
JV001997,suspicious_keyword
JV002056,same_preparer_approver
JV002138,late_night
JV002189,extreme_amount
JV002217,late_night
JV002222,late_night
JV002273,suspicious_keyword
JV002380,extreme_amount
JV002422,after_close
JV002534,after_close
JV002628,weekend_holiday
JV002634,same_preparer_approver
JV002718,late_night
JV002723,duplicate_entry
JV002727,unbalanced
JV002733,unbalanced
JV002762,duplicate_entry
JV002890,suspicious_keyword
JV002912,round_amount
JV002931,split_payment
JV002943,split_payment
JV002966,split_payment
JV002980,late_night
JV003016,duplicate_entry
JV003022,suspicious_keyword
JV003063,late_night
JV003076,duplicate_entry
JV003079,duplicate_entry
JV003113,late_night
JV003116,weekend_holiday
JV003118,round_amount
JV003138,duplicate_entry
JV003144,round_amount
JV003239,extreme_amount
JV003259,after_close
JV003260,late_night
JV003282,extreme_amount
JV003374,weekend_holiday
JV003419,suspicious_keyword
JV003458,round_amount
JV003467,extreme_amount
JV003673,after_close
JV003775,late_night
JV003788,suspicious_keyword
JV003839,weekend_holiday
JV003850,same_preparer_approver
JV003862,unbalanced
JV003897,same_preparer_approver
JV003937,late_night
JV003975,round_amount
JV003982,same_preparer_approver
JV003986,after_close
JV004011,duplicate_entry
JV004021,round_amount
JV004026,duplicate_entry
JV004079,weekend_holiday
JV004129,extreme_amount
JV004141,same_preparer_approver
JV004151,unbalanced
JV004163,after_close
JV004185,same_preparer_approver
JV004207,same_preparer_approver
JV004227,weekend_holiday
JV004317,same_preparer_approver
JV004351,round_amount
JV004356,split_payment
JV004364,suspicious_keyword
JV004379,split_payment
JV004399,unbalanced
JV004406,split_payment
JV004546,weekend_holiday
JV004567,round_amount
JV004576,suspicious_keyword
JV004596,late_night
JV004620,same_preparer_approver
JV004628,suspicious_keyword
JV004685,unbalanced
JV004733,after_close
JV004832,extreme_amount
JV004992,weekend_holiday
JV005129,after_close
JV005130,weekend_holiday
JV005193,round_amount
JV005280,weekend_holiday
JV005281,weekend_holiday
JV005389,weekend_holiday
JV005399,round_amount
JV005439,suspicious_keyword
JV005464,extreme_amount
JV005532,extreme_amount
JV005547,round_amount
